Department Family,Entity,Invoice Date,Consolidated Expense Type,Expense area,Supplier,Purchase Invoice Number,Invoice Value,Description
Department of Health and Social Care ,NHS Digital ,6/12/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1262523,"566,567.52",Contingent Labour
Department of Health and Social Care ,NHS Digital ,3/20/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1233875,"564,058.32",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/9/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1241239,"553,301.16",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/29/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1257961,"540,482.52",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/7/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1251466,"515,328.03",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/24/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1246101,"499,638.96",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/17/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1243833,"494,654.51",Contingent Labour
Department of Health and Social Care ,NHS Digital ,6/5/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1260115,"409,674.29",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/3/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1269253,"620,791.91",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/28/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1288357,"569,771.89",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/10/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1271764,"548,456.25",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/24/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1276350,"540,608.36",Contingent Labour
Department of Health and Social Care ,NHS Digital ,6/25/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1266608,"530,422.34",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/31/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1278765,"522,593.00",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/17/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1274154,"511,119.29",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/14/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1283610,"492,433.01",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/21/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1286151,"491,090.60",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/7/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1281282,"480,952.53",Contingent Labour
Department of Health and Social Care ,NHS Digital ,9/18/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1296472,"411,009.21",Contingent Labour
Department of Health and Social Care ,NHS Digital ,9/4/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1291208,"409,067.59",Contingent Labour
Department of Health and Social Care ,NHS Digital ,9/11/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1293683,"378,640.77",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/8/2020,Course Fees,Live Services (incl. Cyber Security),HEALTH EDUCATION ENGLAND,49304180,"87,300.00",Training Course Fees
Department of Health and Social Care ,NHS Digital ,8/31/2020,Workpackage,Product Development,HIPPO DIGITAL LIMITED,INV1002,"128,373.76",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2020,Workpackage,Product Development,HIPPO DIGITAL LIMITED,INV0939,"63,161.26",Workpackages
Department of Health and Social Care ,NHS Digital ,8/31/2020,Workpackage,Product Development,HIPPO DIGITAL LIMITED,INV1001,"60,628.50",Workpackages
Department of Health and Social Care ,NHS Digital ,2/19/2020,Managed Service,Platforms,HM LAND REGISTRY,7300326003,"109,560.94",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/1/2020,Managed Service,Platforms,HM LAND REGISTRY,7300376004,"109,560.94",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/31/2020,Managed Service,Platforms,HM LAND REGISTRY,7300361006,"26,252.46",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/21/2020,Audit Fees,Assurance and Risk Management,HM TREASURY GROUP,42839,"62,500.00",Audit Fees : Internal & Other
Department of Health and Social Care ,NHS Digital ,3/31/2020,Travel,Various,HOGG ROBINSON (TRAVEL) LTD T/A HRG UK,6,"68,864.65",Travel & Subsistence (staff)
Department of Health and Social Care ,NHS Digital ,4/30/2020,Travel,Various,HOGG ROBINSON (TRAVEL) LTD T/A HRG UK,7,"27,613.54",Travel & Subsistence (staff)
Department of Health and Social Care ,NHS Digital ,5/20/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805200879,"185,158.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/19/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5806201015,"150,712.20",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/29/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5804201690,"149,668.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/29/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805202076,"149,668.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/27/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803201847,"148,294.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/27/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803201848,"140,899.20",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/29/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5804201693,"121,680.70",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/19/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803201130,"121,225.10",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/29/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805202073,"121,225.10",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/19/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803201129,"118,838.40",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/19/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803201124,"118,769.40",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/13/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805200447,"118,647.48",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/11/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5806200579,"111,993.70",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/19/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803201125,"107,788.60",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/21/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805200981,"95,443.20",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/27/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803201846,"92,240.40",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/19/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803201128,"91,540.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/21/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805200982,"88,996.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/19/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5806201014,"82,439.68",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/29/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805202077,"76,694.22",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/30/2020,Managed Service,"Strategy,Policy and Governance",IBM UK LTD,5803202067,"75,178.40",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/23/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803201302,"72,958.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/19/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803201126,"55,968.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/27/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803201844,"47,572.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/19/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803201122,"44,356.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/29/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5804201687,"44,356.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/29/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805202074,"44,356.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/11/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5806200577,"44,356.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/30/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5804202058,"33,059.04",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/31/2020,Managed Service,Data Services,IBM UK LTD,5803202416,"32,650.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/21/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805200983,"30,442.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,9/22/2020,Managed Service,Data Services,IBM UK LTD,5809201029,"251,295.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/24/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5807201319,"178,244.24",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/17/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5808200686,"169,322.08",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/13/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5807200519,"111,993.70",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/5/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5808200182,"111,993.70",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/18/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5808200747,"111,603.52",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/23/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5807201210,"108,442.62",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/30/2020,Managed Service,Data Services,IBM UK LTD,5807201703,"68,571.43",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/5/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5808200185,"62,935.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/30/2020,Managed Service,Data Services,IBM UK LTD,5804201799,"59,623.20",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/19/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5806201017,"45,541.20",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/10/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5807200453,"44,356.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/5/2020,Managed Service,Product Development,IBM UK LTD,5808200183,"44,356.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/5/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5808200186,"32,873.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/23/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5807201211,"29,119.20",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/17/2020,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5808200685,"29,119.20",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/20/2020,Software,Live Services (incl. Cyber Security),IDC UK LTD,UK000691856,"36,000.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,3/19/2020,Workpackage,Product Development,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40222813,"361,761.48",Workpackages
Department of Health and Social Care ,NHS Digital ,7/1/2020,Workpackage,Product Development,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40223005,"439,980.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/27/2020,Workpackage,Product Development,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40223063,"324,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/1/2020,Workpackage,Data Services,INFINITY WORKS CONSULTING,INV000291,"521,757.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/31/2020,Workpackage,Data Services,INFINITY WORKS CONSULTING,INV000344,"503,892.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/31/2020,Workpackage,Platforms,INFINITY WORKS CONSULTING,INV000205,"310,199.26",Workpackages
Department of Health and Social Care ,NHS Digital ,3/31/2020,Workpackage,Platforms,INFINITY WORKS CONSULTING,INV000201,"180,759.37",Workpackages
Department of Health and Social Care ,NHS Digital ,4/30/2020,Workpackage,Platforms,INFINITY WORKS CONSULTING,INV000281,"158,737.50",Workpackages
Department of Health and Social Care ,NHS Digital ,4/30/2020,Workpackage,Platforms,INFINITY WORKS CONSULTING,INV000280,"158,400.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/31/2020,Workpackage,Platforms,INFINITY WORKS CONSULTING,INV000343,"145,865.63",Workpackages
Department of Health and Social Care ,NHS Digital ,3/31/2020,Workpackage,Platforms,INFINITY WORKS CONSULTING,INV000200,"142,984.50",Workpackages
